Date,Open,High,Low,Close,Adj Close,Volume
7/17/2006,1290.436035,1292.187012,1279.670044,1283.948975,1283.910767,7277000
7/18/2006,1288.771973,1294.156982,1281.671997,1286.050049,1286.011841,8857800
7/19/2006,1293.79895,1294.572998,1277.603027,1280.495972,1280.458008,5987000
7/20/2006,1307.286011,1315.589966,1300.723999,1315.589966,1315.550903,8454100
7/21/2006,1302.712036,1314.912964,1302.712036,1314.577026,1314.537964,6490400
7/24/2006,1303.430054,1303.430054,1295.44397,1303.150024,1303.111328,4553800
7/25/2006,1315.30896,1316.80603,1302.489014,1307.775024,1307.736206,9174900
7/26/2006,1308.42395,1316.006958,1307.277954,1312.829956,1312.791016,6876400
7/27/2006,1317.530029,1335.005981,1314.215942,1330.592041,1330.55249,10965600
7/28/2006,1334.831055,1337.410034,1332.430054,1337.410034,1337.370361,7348000
7/31/2006,1351.692993,1351.692993,1342.682007,1351.649048,1351.608887,8267900
8/1/2006,1352.73999,1372.214966,1351.005005,1371.692993,1371.652222,11609200
8/2/2006,1368.571045,1394.364014,1368.571045,1394.364014,1394.322632,14091600
8/3/2006,1400.270996,1400.740967,1376.439941,1379.714966,1379.67395,15086700
8/4/2006,1381.301025,1391.112061,1381.301025,1389.353027,1389.311768,10997200
8/7/2006,1392.527954,1408.386963,1392.527954,1403.48999,1403.448364,12529100
8/8/2006,1407.154053,1409.696045,1393.339966,1396.083008,1396.041504,11237100
8/9/2006,1393.754028,1413.790039,1392.098999,1413.099976,1413.058105,11796400
8/10/2006,1410.937988,1419.223999,1383.995972,1384.855957,1384.814941,14032800
8/11/2006,1396.988037,1405.588013,1396.988037,1402.19104,1402.149414,6618600
8/14/2006,1407.223999,1415.223999,1399.588989,1415.223999,1415.182007,7641800
8/15/2006,1415.802002,1424.239014,1415.573975,1424.239014,1424.196655,10936500
8/16/2006,1437.729004,1441.956055,1429.228027,1437.767944,1437.72522,14779400
8/22/2006,1438.291992,1441.457031,1425.188965,1435.029053,1434.98645,9127400
8/23/2006,1430.55603,1438.630981,1430.280029,1438.630981,1438.588257,13200400
8/24/2006,1427.060059,1436.613037,1424.900024,1429.484009,1429.44165,15132400
8/25/2006,1431.526001,1432.057007,1410.801025,1416.930054,1416.887939,10448200
8/28/2006,1418.439941,1429.569946,1414.869019,1418.004028,1417.961914,14059100
8/29/2006,1424.972046,1432.93103,1418.76001,1432.93103,1432.888428,11207300
8/30/2006,1435.546021,1436.939941,1420.703003,1425.224976,1425.182617,14577800
8/31/2006,1431.904053,1432.967041,1424.207031,1431.261963,1431.219482,12567600
9/1/2006,1431.542969,1444.48999,1431.542969,1444.48999,1444.447144,9711000
9/4/2006,1455.432983,1469.55896,1449.703003,1469.55896,1469.515381,13114200
9/5/2006,1473.024048,1473.024048,1461.70105,1468.238037,1468.194458,13936800
9/6/2006,1469.704956,1472.562988,1463.751953,1472.562988,1472.519287,11250400
